lid,rid
68030,1094199
50548,248871
176844,1180852
372189,942462
212042,1184158
845040,1038920
774902,924423
19128,692992
380934,1111365
684090,1083537
438759,558946
135879,409350
311142,642174
328237,510938
356165,919526
402377,857183
79292,721185
887810,1074146
39306,1192127
611318,815898
473584,1133947
284463,434135
57155,231248
350898,1055182
662469,1026008
559955,755466
325962,876227
303948,700172
346134,755376
815857,991257
538385,756370
580899,1061351
277468,880161
689731,751343
417168,949393
328033,525818
424597,514397
191825,440960
333795,384102
595368,1118636
791244,891960
814186,819658
249356,814170
42583,251126
902784,1038167
40303,212038
916268,1117338
476391,519523
579386,1203820
132114,739211
499511,544275
228876,1037093
765461,831765
79500,1222804
553961,948106
630471,1157545
334414,1063725
888319,1162453
275813,893153
238108,267930
125121,667721
675861,902984
39668,514577
79532,1146878
1048858,1184667
44482,983117
108982,602017
322983,600762
638075,790231
473864,1164458
549194,815121
651397,1145585
129755,235235
580241,735575
142646,744313
104868,720848
166917,558630
564562,1072950
572852,1191123
75982,1013103
250710,285707
37930,641652
190460,290170
641652,984273
185984,931459
75236,884451
634048,1064092
104133,358100
141890,1014812
391869,730920
29505,673966
402790,668463
857649,878990
258457,755404
5227,1023685
582772,1060999
223310,731657
195838,764121
419468,991711
396515,599468
650118,974941
516342,811118
240381,537045
208027,897382
192926,999577
136718,290617
784840,858933
856666,955229
1016360,1184575
755121,880338
148794,1162424
718780,780989
241397,1081834
561751,1020239
275584,615785
572724,953808
284622,807191
540646,990735
98783,755683
921973,1214580
274506,517131
422108,776858
300455,452166
615993,994077
602274,898824
222041,1014810
643334,1128838
396190,782261
638484,835674
721113,842719
60952,689200
565918,1087759
247989,356217
329625,670816
633464,1121734
254219,1027513
524770,1151378
105546,254222
982252,1080680
392174,972553
73180,130164
963437,1214337
252961,1161456
827928,1045530
36228,1055047
209890,978946
894049,968315
423000,620469
391810,609563
370785,1112661
1022697,1054444
631884,908374
993392,1098312
279946,581891
245449,322278
624478,1028559
662915,916217
1183191,1221026
345322,373243
160480,666918
687690,921130
811131,1157333
783309,1110918
572502,605931
1077384,1145867
437131,981038
907716,1187113
454577,785549
35069,611404
212121,456041
732802,1023117
197532,821154
19038,1010178
354,858163
766390,1075052
603657,856581
157099,185700
405293,908777
409698,1136034
109374,522542
1202836,1207397
500310,892350
18862,1170463
201716,1156464
315970,901242
76230,861822
414378,625450
501251,817733
261234,1138496
283492,838447
86319,488012
483920,542565
77822,815273
257644,662416
107104,461891
539025,769749
758322,861822
620455,873969
152464,878987
259465,1143654
267631,674242
144569,186434
167343,240320
39986,396091
926595,1017792
405406,922775
324112,1087787
314391,1032511
36069,755383
62867,796567
240007,901320
797905,1163036
600027,1118158
334766,850138
343794,1165719
120045,369355
541356,658248
1180904,1199560
400808,520440
370878,729490
911125,1143660
998046,1115315
76798,308284
467640,1060583
77229,604983
707866,790174
88583,1030923
724075,1025988
377403,877106
119363,128098
18775,710945
1123593,1143898
52938,1006899
51435,782267
221583,1080215
137379,381842
347255,924412
957458,1039391
770750,990881
542879,1107964
353172,1023685
152709,1151114
454953,923261
300158,516923
28241,223600
523315,1024776
194643,654950
235820,1203165
141564,981086
401605,930802
811298,877632
132138,273884
1069030,1209615
271462,564467
493136,905283
130501,340288
871012,1165134
269453,1059434
186018,1073459
666697,785746
889284,1223082
719843,996114
262625,1028197
1347,1161623
788960,839710
594795,877485
8325,1205636
15666,149501
283219,811977
677165,804261
263233,524262
500375,1109582
452055,855090
767755,841301
1033915,1130321
913044,1023331
1148930,1204699
462213,786231
406507,962675
343108,778646
1005038,1140112
37907,310444
283748,292850
943294,1041162
340992,673200
137483,817473
43149,69281
800652,891783
505538,787936
557977,962787
77702,707165
847735,1126411
120120,998852
63238,163587
646987,960376
301127,702347
666083,1054049
237713,416532
413811,640358
376401,945323
471322,976729
735549,1083412
39388,1194866
260704,1051808
45695,833328
207850,880687
741424,1070408
890535,1120374
975860,1155051
550448,1193842
269451,467809
262629,310780
230047,457007
257693,259674
979146,1025636
541945,1008607
411458,1216240
155896,813371
90617,474969
349626,846594
768366,1184869
712293,935794
852175,1073549
820470,949200
682930,882710
121091,943675
836865,1064293
117390,430638
74024,954765
153228,489739
454279,794215
261502,648320
7857,638532
810045,958281
80455,1187228
17460,542848
28381,576981
837152,967009
274606,312290
371741,514187
618863,1117302
843645,1209018
204125,845541
420404,420827
188649,629469
435162,653652
537671,1181867
829806,982384
172647,377918
302084,960939
520607,652968
273847,1045773
433029,686641
798954,1119711
302044,631816
465237,981736
570900,723662
789939,831884
333086,497215
319955,838969
613738,821839
480847,629857
305619,623580
880448,1081498
265360,1157934
671601,1002473
260409,373170
14037,683854
666658,700450
321599,1004584
257200,679558
175434,1137863
117290,1219168
368660,483280
204290,1195088
37231,1030116
166400,780588
391225,474010
192267,1132456
19667,386584
624799,1070585
302544,1154215
17538,638516
130274,860398
311479,866780
773994,1199476
629470,989959
478975,741656
108170,874200
165033,505263
297567,787347
194725,381311
158146,490415
115169,226091
215984,385618
834470,970678
461855,741721
200164,866118
86498,815952
386532,726318
434918,955766
577559,747677
877708,1178376
350801,706684
539440,777132
679458,870617
104305,1171774
615798,711164
158825,799644
386041,905251
18551,702032
67653,174915
242597,1208263
783938,1197238
19089,421410
638180,1185821
206833,970853
455799,865590
258332,913830
276343,984273
388269,1077333
29610,1039378
786888,1068628
56563,476894
1002581,1092705
412095,1155467
391744,838018
4492,417688
720562,777248
256734,826252
309066,652291
811432,1046281
181837,1103040
682437,1078481
812436,930134
468091,767727
412373,587295
118884,503394
70223,737905
567063,771228
911420,971367
25649,274951
852141,1213433
348660,1008375
148778,640626
666167,1138123
227048,327195
454786,817511
870159,919136
696438,1076106
157567,698551
490231,1140619
166809,1142142
482781,765574
680446,841458
787348,969205
267592,435627
552729,1028185
661826,820892
299153,619072
340825,978677
531991,566741
731863,1198235
647188,762458
106540,702551
423305,560059
417722,788851
226401,476194
16682,32053
27691,880832
1004293,1216733
760241,1194331
193345,1023912
573983,1205656
410350,796589
708316,927083
301135,1051367
692015,1176058
319078,875932
138246,1103986
358948,1163240
58683,788023
701333,1093222
566158,735672
15102,753494
1013648,1088143
180986,901732
598411,661593
329478,800190
280762,910885
884621,1196649
117940,954146
434466,731320
412075,677172
434665,503691
619333,718912
1000627,1129765
861950,1123613
469540,1214996
859704,1138820
171211,1145742
153338,453160
490389,1064559
216624,485065
239505,1148843
106562,771492
159427,287518
233041,1100355
213151,894578
283654,631743
255934,552828
522073,920565
362653,1208633
1000657,1122410
933270,1094881
197022,1148706
389456,920437
9937,993133
491940,1205100
36989,565317
752263,863651
698952,995183
52983,486559
399475,653001
1096538,1119600
507573,642894
11752,596718
564353,1207033
615185,932066
74216,814424
125887,1159821
401670,904921
169242,518566
335469,584940
62372,1002227
167948,753576
725813,742805
82313,989522
198177,219033
636950,1188896
266187,434406
280762,1111531
161245,284450
1000919,1119535
324165,704198
21765,517332
59164,141282
830644,842191
501123,1002252
561479,915955
301767,903890
178674,185547
113332,526933
1184366,1204525
290847,1139326
269453,1108965
1013949,1177975
523873,776974
738456,1157069
360840,512922
723194,1123718
615350,920590
402048,570430
266058,471502
247351,490187
97080,235176
332244,571250
975500,1106949
247343,861872
358954,764989
969086,1094011
265655,817768
119728,385735
59843,71741
1134480,1153968
431723,972731
60974,1161019
370298,706607
524304,757131
148984,736182
833504,1085237
198363,253696
319621,343574
474805,853602
5338,179349
415307,576463
435352,1072625
596603,1100552
23925,550595
324656,658368
230949,241496
445075,739405
130921,522569
119915,270470
453972,1125621
110145,472595
113345,751950
598768,1127043
741125,1077993
134820,727774
222711,754604
324809,374902
779167,1016800
318060,860581
208968,836996
442324,1168501
77286,820150
182696,1154629
51167,1145195
79114,346655
771930,793706
188012,950568
727027,887278
205302,619877
109618,570018
635465,716170
141745,905310
75468,356529
381210,518019
829446,969314
177503,571379
627836,762189
175589,374762
561074,855034
678094,683648
473536,790415
220401,993669
77454,123917
186146,504619
153736,1040434
344980,1146724
102621,249787
334626,773889
224399,495331
532367,833745
497906,500981
206538,637587
703476,1021888
76092,641134
82259,947675
904034,1025221
154268,903731
151589,772316
600996,1044410
1120008,1143097
691547,832530
408629,648475
697405,1023252
644927,714538
651030,1071079
392551,726781
244307,991380
384048,838059
1052970,1054625
124020,1019103
446594,795094
1127860,1194255
108833,1044212
1397,998007
135246,943696
324112,701799
175487,1090815
355913,578392
440310,1135301
121728,474120
565233,956971
621245,742892
839452,973969
534210,816212
842497,1100257
172339,1136429
72167,1176702
188837,199530
169089,775481
1007802,1142429
409750,580060
337912,782869
369626,815652
586738,817950
707780,984606
39201,399839
823802,840913
677146,983000
1146552,1198263
261815,868045
680056,719555
308504,1182340
460616,910885
4699,1098445
182262,700264
355797,782462
334115,413831
29999,953056
861822,1159643
392524,819996
1097965,1193338
540982,1171545
145420,312522
130453,938510
379522,404459
26031,1061159
155284,461633
379953,974259
440594,785714
340083,826521
772826,955024
816823,907201
766944,968742
84591,233550
198761,1072973
893960,1118236
235094,357605
325005,770067
934481,1103888
436220,708647
919200,1161415
432512,1143927
742137,1116666
661390,1047185
385582,842752
103331,918520
422995,625980
454861,602194
204292,1153686
90342,996648
194493,926904
976219,1034069
331977,1162456
27872,1015287
439849,1182396
95187,780170
426679,549794
1175915,1214702
660934,968287
166424,169139
679231,1116658
179869,541862
235195,1178498
171771,908991
14719,28432
209815,849379
355034,1186078
540461,888892
261567,710572
329802,338514
824672,993120
1056427,1209981
460616,1111531
428891,773021
96794,982120
96944,611242
202798,512308
129137,432251
807295,1111811
217262,484360
391039,1168916
636046,1117942
1005077,1015876
408989,1179107
346333,961608
278675,521854
794314,828053
678099,883459
139452,1091441
384911,682759
313349,389000
635890,973291
277293,1138419
433827,937282
82458,1057178
369213,1152080
397773,830793
29186,528493
892258,1166444
215065,1030954
51686,401135
1111453,1216361
104131,257788
106685,1028516
573517,963166
307943,538083
475758,1113043
591338,1140655
1919,264849
371286,864002
35369,516773
624133,761944
254900,951017
533365,1053383
58688,893309
823010,964940
283979,892284
237937,243380
468528,725125
433029,1190192
1085497,1183191
390383,748905
423079,1099401
167915,573250
559189,849496
485107,1107212
18203,319923
58254,457119
656436,672117
238652,698629
501683,1207599
161179,786787
148112,647366
298147,551465
818244,854057
679436,1186780
309421,1158151
439455,581067
358571,1213147
691851,1019145
49849,632661
310901,995920
21596,1007089
138193,790523
225407,514963
332506,863923
601223,1184203
795244,1207776
199141,1125891
137451,503199
636131,871070
186718,198511
536830,1197734
1013985,1103778
58254,602704
790152,1022599
23853,379016
1084989,1102194
602617,1071624
400432,1112752
722741,857735
414768,789826
648822,835706
324407,1011629
261210,346389
468172,954217
294331,1021685
9246,654123
784257,946655
525182,618541
684920,694249
820550,876592
468469,1029271
397286,1009420
560234,1146781
276343,581720
698715,923994
784655,1139484
610276,832290
106221,884785
287335,334267
67152,521352
352139,679758
478713,793444
422214,558490
887699,973354
736898,964891
880344,1222117
513617,1195425
629787,858847
188550,958677
863145,1050074
442358,957317
355034,672517
507005,832776
186033,529579
1189,631556
630527,1015950
298705,317083
356023,1126083
1036066,1122960
123284,695543
399035,1161623
362399,722079
323850,787413
337518,347796
1148715,1215826
362393,676221
799105,849625
414811,537467
282293,927415
518182,965724
340785,1088595
609460,759808
13449,97318
178798,370287
486670,1212592
286758,698638
280768,427422
50218,936321
118801,909754
404769,1099338
594414,1178575
586586,804136
31305,1167134
190867,1022506
233493,765254
590318,1020747
482657,529481
112951,673257
60647,983174
468689,955220
555335,959659
526627,606573
471002,582494
1021133,1095503
579439,1174678
267929,1023810
789852,889822
343171,1104293
471002,617957
193886,1152427
32371,628964
258101,1067856
507653,1145674
486299,870658
185514,1096510
369063,581985
738813,1193708
138432,1122753
590716,1193547
33053,61407
213312,616991
67438,1105807
142488,421471
317628,786672
715239,1055442
15828,774649
748229,856773
127925,874916
830173,845965
167949,1078963
743228,945596
842191,1195317
94290,533068
190593,664640
539332,1075645
118269,847584
177439,1206141
153714,893427
834398,907074
806524,1113625
33740,723606
134046,881566
42312,1117976
50447,594540
121502,147763
884865,1021490
502601,1112678
407860,412592
863065,929314
675031,954829
558096,674964
216306,506773
132527,749958
148163,254095
358930,726472
269050,1016091
433064,898613
861822,1083537
811679,977354
645878,723701
525187,759477
668778,704356
320652,795487
917655,984210
311316,629499
371799,820242
116369,311877
609259,1109890
344686,1155726
599640,852716
156302,235508
353191,422448
478767,739237
580250,742354
42446,1111351
640250,1003647
359810,732304
200184,684356
183687,522943
759410,1073921
49382,649627
599367,879884
238226,428882
628547,1177345
63111,384575
285845,642387
243103,706873
1024867,1165719
455162,705021
534126,1061780
269129,763039
545333,1018376
214548,809333
383028,897888
737067,1129963
512784,627926
215185,786764
125705,770944
490599,1174227
272299,340134
700694,1054461
126493,1110291
290836,298592
256797,519327
250716,884029
473644,607556
823841,1071770
571622,798818
78228,999994
970809,1105742
736157,755321
618504,1158770
239143,359132
521128,906257
589202,627623
29132,211103
519216,1101261
584218,926172
488970,1175608
86299,103657
384708,1165735
410312,685398
116150,149133
181076,1008958
141157,933008
347100,479318
638451,881797
164766,1006943
870961,1186678
599068,852624
205623,839388
396762,943218
147542,1139462
744318,1156556
127663,318217
765350,1116349
66973,1183250
338275,662410
234225,1045688
181779,745557
420240,578520
543633,1202093
348134,772681
224813,978335
488467,981049
176702,903968
153122,173989
768362,867137
198940,550084
362807,824104
33427,524178
1051549,1144200
547913,996948
243676,1023919
68785,867289
622414,1214337
491296,1147871
1083459,1090161
211134,996417
402415,1136517
383654,1176099
227382,830031
931717,1117038
96354,1160668
42918,251338
1136903,1169442
364635,744062
178581,465874
809371,888191
321410,590913
82439,563375
765605,1128895
267570,481053
556402,891225
96163,437549
93373,775412
469661,1043088
46488,822171
414545,1014160
619116,1048733
153801,602789
863731,1124239
192398,635190
1117222,1139976
104932,884865
950827,1136084
71907,439775
106424,629868
681890,1100650
268024,651533
415602,899532
495680,645381
1049558,1169701
252179,758680
875523,1175045
146059,846383
684090,1059434
641652,707496
13085,1176651
402778,817209
226884,643363
541494,1087722
759313,905235
863011,1075281
62597,1185276
513992,1117311
436911,469748
61130,447650
447803,881105
37905,252952
780852,964243
576231,1160805
181191,1036934
557651,1185681
847318,906688
84421,781013
70988,828168
395532,850134
210099,1124874
126756,841975
247185,348451
552683,1052033
330012,839832
271556,460616
246303,263295
118217,1015854
91266,251658
498308,671192
676398,807810
474632,1149784
179908,1025743
263168,314766
607274,830266
432206,662420
808159,1122401
515689,605052
219172,252668
582494,830644
804945,1021379
815503,1077529
718835,1218371
416112,984277
41972,335702
673195,1162658
307077,895935
209467,472157
220959,616602
237107,1203364
270914,658254
918315,1073654
131178,1118231
575906,1015005
201041,372590
715518,1005570
382236,807951
1042158,1141405
690824,1170956
1125833,1162273
52789,712361
458522,1123297
445459,1123188
223109,975138
600428,1188843
1025976,1177482
512147,1050958
469341,960583
801289,935099
371616,1110044
139266,393124
600342,1144187
323417,993951
221579,849787
489267,537528
344185,606446
18571,1014987
474457,749294
440917,492946
125913,1195465
192841,806554
270264,434598
171936,842372
462117,649048
115766,1196189
931050,1217008
616698,962058
252952,909045
1014892,1147650
119814,737565
253192,564478
1120795,1137254
224431,431676
1039996,1136257
82157,679371
422652,466313
269926,363276
391182,428972
29701,920250
27480,393227
173876,251775
779428,967853
555007,1046076
466987,660287
192682,1196163
159937,1037777
43820,142702
324736,726702
564963,830720
427358,792128
400979,415010
383497,595758
491889,1207447
519582,596478
389598,626666
66567,273238
304087,1185764
233931,973374
32202,738042
346797,1208134
227820,953829
754250,1186201
50773,990345
161152,764163
301619,649415
418161,797575
129876,228000
992934,1222350
175493,193363
588757,1036838
326393,891798
562205,1192630
471182,1008968
230330,1070132
86278,844587
110768,381003
391418,493550
812662,1096201
615281,895967
40833,342679
322914,1059664
151417,436827
491894,995386
953382,966061
890853,1124444
170916,511669
427210,803907
498259,770767
629854,843079
53365,973489
92256,551033
352783,556077
184821,196104
726423,785959
882833,1150428
361040,747672
67616,811717
180319,565323
309587,771859
279630,999465
603232,912839
315243,1060168
829075,857643
251977,745958
360272,1011775
551485,887530
369752,661084
241036,1129536
524782,1137434
203747,344619
390491,705514
428474,1054914
461055,615736
186260,272641
505627,524087
172196,627022
405507,824819
281798,525257
268845,334445
514257,1135731
96812,565300
546917,936204
286819,750568
778801,902039
459317,720180
26026,854615
116492,174269
185340,1100679
477449,776620
198443,414378
339094,856721
135559,610477
175015,418520
1110269,1130737
44358,121170
172153,454140
22384,567718
33519,421297
421437,983502
14613,1054655
577317,943399
183947,1032754
461863,1190747
984273,1129281
108681,379597
544192,1033764
85225,602390
450081,807902
8445,630196
799065,998039
91951,307790
701882,1027350
90099,1034020
220612,495632
696155,714665
786772,849344
475492,585187
270077,686641
297836,970345
715338,980364
44358,759808
211997,518023
559543,1181840
21469,870617
3963,651849
177071,226247
455594,580219
168584,289763
44181,366843
253715,1059422
873540,894312
1018906,1042819
172103,606024
963000,976619
351854,896210
54500,546335
890863,993401
499092,709933
834415,1216749
377671,786214
570967,905347
693037,1134326
110216,912307
461097,763775
523565,1214357
610974,722346
409297,438909
173080,736652
295009,1165349
340973,349175
949983,996483
110548,116125
217308,423740
401047,1120624
144579,308954
478290,1010312
490129,1051135
853931,1166338
177336,360961
112334,1213965
504260,1050331
170338,719575
448368,656779
835000,958954
453495,762541
495356,935678
67480,732123
83939,768943
577356,1216030
151708,826567
131967,964940
652350,700756
60356,964045
358435,773609
98463,891950
817051,873524
737750,777671
792930,1054987
87074,630664
205261,410106
669875,786016
132306,977588
672517,1083537
946196,963842
57610,194251
309991,376633
664262,1057976
360801,494421
1088558,1096615
650477,1222372
3933,557621
188003,645623
163149,842777
187451,986131
727985,1011789
415886,1173254
28270,609105
76120,270457
19115,633272
861615,1159198
308738,636907
119769,779083
188247,885499
717883,1148823
572110,1158975
570548,790406
64051,1107168
228085,392405
542511,876082
554328,667208
499573,937246
844569,1039799
480242,739569
412091,790676
954559,1129044
766289,878707
149572,310339
472528,603055
917297,1221876
318214,1219713
96135,957631
949492,1135741
410982,892662
276343,707496
455848,629056
4235,387783
32129,860523
1091943,1191961
326269,1186718
184290,336605
322794,816792
1347,758322
581509,625496
686223,1180382
1012854,1201414
498441,626705
296996,383962
451134,963114
510851,1167910
374775,1152966
251401,361203
285462,581790
804365,1165639
859045,1005795
357579,844280
317191,502830
125040,720864
35957,803714
928372,999159
558328,1000337
251101,751735
145008,176178
367180,1175938
523927,1102209
388219,1213490
366083,1196078
600311,989167
447866,680033
342214,397699
207597,865132
520961,952270
478063,885718
764018,1063763
349319,1134486
813163,1047489
460282,1172788
249608,377294
397013,1118576
1070163,1172467
640232,1035392
187829,641790
454845,1075091
529405,742317
553651,581679
807949,1004740
180528,885908
739445,980861
937474,1016082
114449,590241
59300,1162500
384205,1110321
614210,1018945
670349,1018170
225102,1097611
399276,448469
802260,915840
91865,1100027
1013610,1186592
467308,606446
84146,973749
581127,657608
445267,524007
266001,1147167
47269,241013
457180,680782
316994,495095
119968,530246
459778,1079482
355555,1092949
101087,144186
356178,690800
742411,833886
59448,790421
119713,864332
733312,790442
924837,970152
117367,987202
91292,804002
510547,813965
450298,886573
513116,650227
470386,796576
736957,861822
57548,82714
222751,821742
123416,448306
35543,680099
364085,435730
210192,943585
515483,633068
32494,1152730
881674,1116996
549999,695444
181197,649287
155482,811238
115400,930494
89457,260426
150222,1149516
592257,852187
809177,821481
375907,1168767
143174,647898
723328,1176854
732855,1216049
181637,1078475
26431,1075889
421665,805045
420776,914534
153699,808769
408629,537418
154684,777084
57904,360149
433297,512663
205142,670338
611031,770557
431519,1093765
171762,782061
68251,333822
1181932,1191122
290933,1216900
193368,1141056
259461,481626
177538,425768
395137,811808
367152,490608
647874,1126070
950250,1059406
29283,471007
1116022,1135753
728702,975780
191110,462126
566884,642625
218926,1023629
826352,1219413
668251,797003
337019,851704
565390,669710
340726,553140
328943,1187101
19116,148178
684185,698192
136224,1044594
442987,675715
368932,631194
84183,416737
497951,655954
96573,324694
132345,201726
150492,550069
126424,211352
2153,65997
163023,504274
39189,164639
211522,1177818
39030,1079381
305109,1127169
126071,461145
336093,770790
10769,1077427
558984,1175326
161109,281993
363986,1134280
626760,752015
193186,1138517
247055,1141221
670903,1052932
253847,567724
535079,1055205
377920,611586
501534,975798
365576,898285
821333,1026204
245267,328120
302215,469528
184976,649474
219391,603874
575264,845903
350480,1183781
821339,1100328
34817,535028
614712,890188
8644,1106520
810848,1059363
77923,1143227
548563,1153974
43161,964637
245337,525025
71967,369524
876828,887605
662751,841509
338100,789875
11712,318932
121144,674561
247372,911719
513431,1193517
733204,1014670
970674,1127721
738100,1066377
732330,845674
793060,1140778
216587,585138
120685,161561
143439,284967
7275,1135182
28851,144611
136723,441816
119307,1011002
89809,412023
277084,903079
1023543,1050905
782961,1189464
1119621,1215378
129679,721962
782453,940251
75620,281543
341177,833040
935852,1112028
423972,605146
409151,723196
749300,944086
348581,560003
56084,1020894
83462,816391
196969,511139
39700,1219819
59554,503970
35633,415396
529048,1027644
518991,825679
165571,719448
915950,1094486
304994,831971
1129819,1198727
393156,628574
283047,1080389
559308,1071827
335063,412954
157238,890921
750277,1035087
338475,357772
942438,980753
1100100,1105068
218904,1165775
281029,1000361
659490,1117131
66221,114078
645016,766372
643455,886543
360313,625438
547532,706143
355166,880424
125165,985505
143557,1013037
120575,498199
13549,525262
411607,518964
621100,1196458
46907,235899
47500,846408
269628,281475
111111,1150450
681862,697397
377830,1163889
901033,1032099
477688,777709
77977,327428
1063183,1149266
283540,1054257
467984,961206
483795,782768
518132,836511
5288,815997
442983,816565
570316,642650
640647,934827
777402,845198
1072048,1170033
36402,1134159
562485,1078605
402250,989259
130341,744846
218051,414779
1156140,1218573
152155,871794
290114,822992
458610,1134634
775402,1154291
118655,370010
270077,1190192
400559,660819
212639,995966
227080,233745
584768,1154511
33010,408698
162963,537271
242021,863864
411458,465634
321486,574215
1135053,1147365
766912,1197507
248200,1125153
937165,1146334
165394,527479
785465,1108203
436235,895379
981788,1078005
394869,936504
876695,1016556
294093,887428
297817,875932
88515,655222
144418,1177209
695852,1038082
860750,941269
223536,934993
517227,1139697
82722,702940
704299,1158124
146008,657533
219139,291139
726603,918766
169953,242121
671664,1221706
376814,1111324
101789,704196
289744,709879
539587,855389
198644,1037732
23934,1220229
692400,835417
319219,1163797
151804,237355
854761,1122202
142965,567131
117994,971567
97077,1127727
145636,547000
1138111,1176143
708441,724395
324809,665300
1031036,1084840
20761,990211
398014,1141038
344082,761521
25049,183637
9508,864973
483672,750607
696856,915118
85156,514225
24656,974598
753618,1064472
346521,686356
8930,1122784
749910,1050837
798171,831668
567128,1159929
326224,1150007
700520,776429
60699,1161623
535742,701694
981240,1203197
380199,880760
301281,726551
815383,1212944
64365,837394
631130,953585
183079,324004
515026,798511
118890,432427
268279,1013482
234048,429771
731766,1117341
1035093,1108808
361286,766765
130046,492441
911880,1157641
236871,847248
158528,576809
75883,145980
274338,571864
938378,1041213
420584,752995
968436,1048321
83288,1104859
300101,1136137
221906,298958
112300,986810
597466,1205873
105472,164883
766216,1083978
475743,1052065
1030900,1094377
957761,1062889
32415,360485
113678,988762
544796,1086739
207218,797219
20390,509057
80922,1087103
202722,1071945
104487,870669
637911,892923
116666,477729
677298,858489
114641,143401
274952,1216030
373698,877975
282338,1139701
687888,814951
638447,704314
610435,798126
447069,699687
1094078,1141624
245798,375059
173674,592026
292971,1191272
411678,494508
199405,1181671
258233,267675
907899,1144382
246291,371959
429771,899211
457115,836202
165439,691226
303291,931900
235075,891684
63888,103839
424715,645017
693015,907100
664888,849526
18991,300589
604955,847472
305246,861052
711223,802300
361202,389024
196062,1198901
289142,869493
331116,808811
356584,955547
198083,246331
53543,403720
277847,880970
85560,829772
263610,458474
298138,1038796
683460,1145781
249270,986115
1152344,1215885
464064,958667
528759,926226
540325,955371
1072415,1198529
606446,640518
637932,710792
650959,857230
634303,672375
730007,963190
124361,931751
581363,982081
66556,764304
476942,919719
710528,858418
56644,1148549
3114,584365
179011,879585
355038,981314
1082018,1108133
693919,1208691
806644,1090891
658605,870790
466903,1040887
208806,739516
44358,276343
627850,1091034
4041,127916
322317,932347
602784,1101406
1105905,1223137
463547,640293
281077,669716
12345,1156787
421325,1120714
624672,1102474
665771,1182670
163099,1011524
834109,1205127
498711,756046
270995,792692
17182,768044
60678,730593
133691,555795
668777,826123
71810,117990
497306,625506
961766,1062076
604082,757840
297855,696278
378716,1068975
361772,702416
481499,1159424
509496,1074349
401986,1149860
423554,696208
17562,747512
331055,836750
368507,1062405
204990,1075074
618026,630068
41070,765930
111619,326929
286882,980348
768107,869871
712518,845449
198204,646072
541340,562447
431064,459784
284192,582059
292280,478675
157993,786640
98000,108148
59900,372285
257468,1015598
529323,555472
74718,84566
569519,1190956
897729,1007884
524140,751926
1064994,1093138
224091,1209068
69148,304171
830006,1014371
496082,859356
286105,569833
390823,678202
482155,661922
523653,1143009
119032,129418
372983,850382
397621,788070
150472,168048
1171854,1195749
256824,910985
647683,1030635
521331,1056154
1051703,1162980
218221,336290
411491,1046447
594487,710758
82014,988390
235216,1093608
532995,631277
269453,658605
369176,1168340
358509,1144677
729845,946535
499743,1044394
244284,848773
218120,590468
337111,472122
333473,961354
278138,397036
360911,751240
595169,901811
441988,822353
489342,1204773
214968,313032
405366,1039654
407638,422843
763615,1143911
447418,870961
397164,939795
334565,566264
125212,780948
568283,1103743
244443,630763
750035,823607
253895,314985
65915,442214
811948,1011197
78143,290995
519532,914706
119134,907502
787931,792390
371221,875154
953103,1125069
544590,1134190
287522,464569
979021,998186
